question_id,sample_idx,token_step,target_think_tokens,is_correct
2,0,50,2233,True
2,1,50,2500,True
3,2,50,100,True
3,3,50,366,True
2,0,100,2233,True
2,1,100,2500,True
3,2,100,100,True
3,3,100,366,True
2,0,150,2233,True
2,1,150,2500,True
3,2,150,100,True
3,3,150,366,True
2,0,200,2233,True
2,1,200,2500,True
3,2,200,100,True
3,3,200,366,True
2,0,250,2233,True
2,1,250,2500,True
3,2,250,100,True
3,3,250,366,True
2,0,300,2233,True
2,1,300,2500,True
3,3,300,366,True
2,0,350,2233,True
2,1,350,2500,True
3,3,350,366,True
2,0,400,2233,True
2,1,400,2500,True
3,3,400,366,True
2,0,450,2233,True
2,1,450,2500,True
3,3,450,366,True
2,0,500,2233,True
2,1,500,2500,True
3,3,500,366,True
2,0,550,2233,True
2,1,550,2500,True
2,0,600,2233,True
2,1,600,2500,True
2,0,650,2233,True
2,1,650,2500,True
2,0,700,2233,True
2,1,700,2500,True
2,0,750,2233,True
2,1,750,2500,True
2,0,800,2233,True
2,1,800,2500,True
2,0,850,2233,True
2,1,850,2500,True
2,0,900,2233,True
2,1,900,2500,True
2,0,950,2233,True
2,1,950,2500,True
2,0,1000,2233,True
2,1,1000,2500,True
2,0,1050,2233,True
2,1,1050,2500,True
2,0,1100,2233,True
2,1,1100,2500,True
2,0,1150,2233,True
2,1,1150,2500,True
2,0,1200,2233,True
2,1,1200,2500,True
2,0,1250,2233,True
2,1,1250,2500,True
2,0,1300,2233,True
2,1,1300,2500,True
2,0,1350,2233,True
2,1,1350,2500,True
2,0,1400,2233,True
2,1,1400,2500,True
2,0,1450,2233,True
2,1,1450,2500,True
2,0,1500,2233,True
2,1,1500,2500,True
2,0,1550,2233,True
2,1,1550,2500,True
2,0,1600,2233,True
2,1,1600,2500,True
2,0,1650,2233,True
2,1,1650,2500,True
2,0,1700,2233,True
2,1,1700,2500,True
2,0,1750,2233,True
2,1,1750,2500,True
2,0,1800,2233,True
2,1,1800,2500,True
2,0,1850,2233,True
2,1,1850,2500,True
2,0,1900,2233,True
2,1,1900,2500,True
2,0,1950,2233,True
2,1,1950,2500,True
2,0,2000,2233,True
2,1,2000,2500,True
2,0,2050,2233,True
2,1,2050,2500,True
2,0,2100,2233,True
2,1,2100,2500,True
2,0,2150,2233,True
2,1,2150,2500,True
2,0,2200,2233,True
2,1,2200,2500,True
2,0,2250,2233,True
2,1,2250,2500,True
2,0,2300,2233,True
2,1,2300,2500,True
2,0,2350,2233,True
2,1,2350,2500,True
2,0,2400,2233,True
2,1,2400,2500,True
2,1,2450,2500,True
2,1,2500,2500,True
2,1,2550,2500,True
2,1,2600,2500,True
2,1,2650,2500,True
2,1,2700,2500,True
2,1,2750,2500,True
2,1,2800,2500,True
2,1,2850,2500,True
2,1,2900,2500,True
2,1,2950,2500,True
2,1,3000,2500,True
2,1,3050,2500,True
2,1,3100,2500,True
2,1,3150,2500,True
2,1,3200,2500,True
