question_id,sample_idx,token_step,target_think_tokens,is_correct
1,0,50,633,True
1,1,50,900,True
1,2,50,1166,True
1,3,50,1433,True
1,0,100,633,True
1,1,100,900,True
1,2,100,1166,True
1,3,100,1433,True
1,0,150,633,True
1,1,150,900,True
1,2,150,1166,True
1,3,150,1433,True
1,0,200,633,True
1,1,200,900,True
1,2,200,1166,True
1,3,200,1433,True
1,0,250,633,True
1,1,250,900,True
1,2,250,1166,True
1,3,250,1433,True
1,0,300,633,True
1,1,300,900,True
1,2,300,1166,True
1,3,300,1433,True
1,0,350,633,True
1,1,350,900,True
1,2,350,1166,True
1,3,350,1433,True
1,0,400,633,True
1,1,400,900,True
1,2,400,1166,True
1,3,400,1433,True
1,0,450,633,True
1,1,450,900,True
1,2,450,1166,True
1,3,450,1433,True
1,0,500,633,True
1,1,500,900,True
1,2,500,1166,True
1,3,500,1433,True
1,0,550,633,True
1,1,550,900,True
1,2,550,1166,True
1,3,550,1433,True
1,0,600,633,True
1,1,600,900,True
1,2,600,1166,True
1,3,600,1433,True
1,0,650,633,True
1,1,650,900,True
1,2,650,1166,True
1,3,650,1433,True
1,0,700,633,True
1,1,700,900,True
1,2,700,1166,True
1,3,700,1433,True
1,0,750,633,True
1,1,750,900,True
1,2,750,1166,True
1,3,750,1433,True
1,0,800,633,True
1,1,800,900,True
1,2,800,1166,True
1,3,800,1433,True
1,0,850,633,True
1,1,850,900,True
1,2,850,1166,True
1,3,850,1433,True
1,0,900,633,True
1,1,900,900,True
1,2,900,1166,True
1,3,900,1433,True
1,0,950,633,True
1,1,950,900,True
1,2,950,1166,True
1,3,950,1433,True
1,0,1000,633,True
1,1,1000,900,True
1,2,1000,1166,True
1,3,1000,1433,True
1,0,1050,633,True
1,1,1050,900,True
1,2,1050,1166,True
1,3,1050,1433,True
1,0,1100,633,True
1,1,1100,900,True
1,2,1100,1166,True
1,3,1100,1433,True
1,1,1150,900,True
1,2,1150,1166,True
1,3,1150,1433,True
1,1,1200,900,True
1,2,1200,1166,True
1,3,1200,1433,True
1,1,1250,900,True
1,2,1250,1166,True
1,3,1250,1433,True
1,1,1300,900,True
1,2,1300,1166,True
1,3,1300,1433,True
1,1,1350,900,True
1,2,1350,1166,True
1,3,1350,1433,True
1,1,1400,900,True
1,2,1400,1166,True
1,3,1400,1433,True
1,2,1450,1166,True
1,3,1450,1433,True
1,2,1500,1166,True
1,3,1500,1433,True
1,3,1550,1433,True
1,3,1600,1433,True
1,3,1650,1433,True
1,3,1700,1433,True
1,3,1750,1433,True
1,3,1800,1433,True
1,3,1850,1433,True
1,3,1900,1433,True
1,3,1950,1433,True
1,3,2000,1433,True
1,3,2050,1433,True
